memory_score,subj_idx,word,emotional,trialnr_enc,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,trialnr_recog,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
3,45,146,0,30,-0.521073470462343,-0.394476039342397,0,0,226,1,1,1280.89010212443,3,547.685320067103,-0.0654246904697883,-0.815987921391217
NaN,45,147,0,58,-0.095845710065277,-1.14639682344014,0,0,66,1,0,3185.25763817979,NaN,NaN,1.7863163856492,0.609796575148652
NaN,45,148,0,NaN,NaN,NaN,NaN,NaN,146,0,1,1666.67351118394,1,254.804584734302,-1.24092311758961,0.91731589668986
1,45,149,0,91,0.478607115618409,0.026271453265806,0,0,73,1,1,5892.3839590534,1,598.931670885577,1.5385192954103,-0.814042539040003
NaN,45,150,0,NaN,NaN,NaN,NaN,NaN,64,0,0,2877.16275656021,NaN,NaN,-0.849242714190774,0.634706087874802
NaN,45,151,0,NaN,NaN,NaN,NaN,NaN,128,0,0,4305.32639130251,NaN,NaN,0.0338727574557453,0.989066341216243
NaN,45,152,0,29,0.662199695533364,-1.10910069861925,0,0,211,1,0,5380.39289606149,NaN,NaN,-1.57083153017633,2.0282394447036
NaN,45,153,0,75,-0.439798981950238,-0.113075445026654,0,0,1,1,0,2833.77028579071,NaN,NaN,-1.5982020697101,1.79007193691185
NaN,45,154,0,NaN,NaN,NaN,NaN,NaN,8,0,0,2623.42793783046,NaN,NaN,-0.426030059829684,1.02222981228267
NaN,45,155,0,69,-2.38138092624894,2.02360601986441,0,0,240,1,0,1913.73700614804,NaN,NaN,0.141783089342348,-0.574788970542197
4,45,156,0,53,-1.15230923220292,1.51608681061546,1,1,44,1,1,1035.33695636997,4,331.287142108522,-0.784543253735714,1.02616893605539
NaN,45,157,0,59,-0.839670007157246,0.573949575535388,0,0,7,1,0,2718.11679434632,NaN,NaN,1.04358199691337,-0.246877046312505
NaN,45,158,0,NaN,NaN,NaN,NaN,NaN,215,0,0,1967.36386489738,NaN,NaN,-0.360073976264591,-0.68457778388082
NaN,45,159,0,NaN,NaN,NaN,NaN,NaN,173,0,0,1972.89304520382,NaN,NaN,-0.776681634718378,0.297225411344825
NaN,45,160,0,97,0.0935856442971348,0.227457775986718,0,0,107,1,0,1663.06746824648,NaN,NaN,-0.390690665665926,0.682247756839568
