memory_score,subj_idx,image,emotional,trialnr_enc,emotion_score,rt_emotion,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
4,10,94,0,124,2,2208.66495618247,-0.31593081972556,0.0769856154169911,0,0,1,1,1139.97764812621,4,328.424026083212,-0.746407969145781,0.182589672204102
NaN,10,95,0,97,0,2459.91525853265,0.539631245188641,-1.2187234583833,0,0,1,0,948.751400199853,NaN,NaN,0.0607670023304253,-1.19583290467908
NaN,10,96,1,121,0,2406.34148530739,-0.667225760246243,-0.441171578135221,0,0,1,0,1030.3618797393,NaN,NaN,-0.03084161137321,0.740925557967877
NaN,10,97,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1142.72030774237,NaN,NaN,0.785543379194898,-1.68752917681965
NaN,10,98,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1291.94055838616,NaN,NaN,-0.293699381405859,0.758336372704639
2,10,99,0,113,2,1867.96743022524,-0.667055322588414,0.652870746744107,0,0,1,1,1674.67662278841,2,692.132127546984,-1.30466094945893,0.632935547464711
NaN,10,100,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1202.56963147631,NaN,NaN,1.17342213313353,-1.5117228925967
4,10,101,0,106,0,1368.73637820031,-1.37361841558037,-0.058370445691089,0,0,1,1,1459.08914189067,4,690.327746220646,0.195946862875143,0.0979084053469137
NaN,10,102,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1303.06228371501,NaN,NaN,-0.326331817967751,-0.685627278334692
NaN,10,103,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,974.310742372154,NaN,NaN,-0.984554740341016,-0.0125873024920293
NaN,10,104,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,926.954794554149,NaN,NaN,-0.57477346581302,0.727967702878719
4,10,105,1,86,2,1963.16498613419,0.842871739939797,-0.835414233011574,0,0,1,1,1617.38615235981,4,633.259575571174,2.13638585207099,-1.16606419376729
NaN,10,106,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1755.79755938065,NaN,NaN,-0.430876705580238,0.0610568212941636
2,10,107,1,134,3,997.438764858089,0.63007014927689,-1.11516157051367,0,0,1,1,1869.87090573848,2,446.118126189504,0.465944746552493,-0.979038283655913
2,10,108,0,127,0,2423.87703761574,-0.391899151008361,0.257648357827713,0,0,1,1,1659.05565257322,2,794.286735279229,0.416155961732595,-0.518984130583321
NaN,10,109,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1511.95671281175,NaN,NaN,0.887720823618643,-0.428723549667941
NaN,10,110,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1593.53463706452,NaN,NaN,-1.71250007371968,0.247287747787378
NaN,10,111,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1354.03308898503,NaN,NaN,-0.389537312404947,0.103509200302766
4,10,112,0,35,0,2246.9638264032,1.97501166637935,-1.8110250244478,0,0,1,1,1504.63750059339,4,478.982245529323,2.26368624700038,-2.03378174486824
3,10,113,1,10,3,954.609934538439,0.328536712555926,-0.520164336599904,0,0,1,1,1594.96755642181,3,539.945955170424,-0.519459859188555,0.175245020562798
4,10,114,0,12,0,1272.89280345531,-0.194420373818363,0.53316966881823,0,0,1,1,1291.51859453827,4,436.929093748404,1.13987302818072,-0.948945165698289
4,10,115,1,9,3,1035.23173981137,-0.229421602798526,1.34298997679004,1,1,1,1,1514.83838722788,4,491.466318856965,-0.243362274715552,0.741147999688708
2,10,116,0,79,0,1957.57023988494,0.129828381848936,-0.73513227299848,0,0,1,1,1607.46927258879,2,896.718495983123,0.607795629310803,-0.809032054370751
NaN,10,117,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,2615.35798237901,1,440.105446440612,-0.74197463968435,-0.652433584904782
NaN,10,118,0,4,0,1132.83552212431,0.93120478908018,-0.567834595868686,0,0,1,0,1637.69017377217,NaN,NaN,1.14357191506768,0.396642572033339
NaN,10,119,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1380.35909273458,NaN,NaN,-0.104429633078271,0.35833874486509
NaN,10,120,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,945.172296052533,NaN,NaN,-0.459757749852371,0.566885342335963
NaN,10,121,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1046.53988629025,NaN,NaN,-0.878419547743245,-0.05601726987982
NaN,10,122,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2190.87435347001,NaN,NaN,0.507784066610403,-0.461343605344792
4,10,123,1,70,0,2361.5088446661,-0.175815654958387,-0.51487220026425,0,0,1,1,1238.90169153128,4,689.197962925846,0.64136029356352,-0.787799774802139
NaN,10,124,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1379.65851161152,NaN,NaN,-0.50892910055325,-0.0931773554955569
NaN,10,125,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1029.43242664105,NaN,NaN,-0.39499743824852,1.26262078080739
NaN,10,126,0,99,0,1380.43837412897,-0.328999758402726,-0.258010248214448,0,0,1,0,3329.37128618232,NaN,NaN,-0.646188756658945,0.261472289668073
4,10,127,1,136,0,2753.55329672448,0.0366781786210273,0.62906118646485,0,0,1,1,1509.66859690016,4,744.246509604864,-0.52804904703385,1.01031812244635
NaN,10,128,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1993.05513676109,NaN,NaN,0.161671418950834,-1.5082034447968
2,10,129,1,78,3,1386.98389539991,-0.369546739015866,0.667577841012852,1,0,1,1,1519.61113898324,2,754.002999924296,-0.708392154165651,1.21286109723024
NaN,10,130,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1323.54565236028,NaN,NaN,-1.13506414938115,-0.57040294687733
3,10,131,1,3,3,1110.40257971308,3.47305385909605,-0.778043096763832,0,0,1,1,1208.74205911832,3,1000.24699975484,-0.345073746581644,0.924967393382226
NaN,10,132,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1052.02328084965,NaN,NaN,-0.804146589410045,-0.336773552830583
NaN,10,133,1,20,2,1733.55166708041,0.140035472276611,-0.63243402255673,0,0,1,0,1426.2757056174,NaN,NaN,-0.702206534368234,-0.122055874497974
4,10,134,1,30,3,1097.9656401837,1.66535562244265,-2.55933920033522,1,1,1,1,1409.25043376092,4,438.792498392786,-0.691881529901669,0.672241712005459
4,10,135,0,107,0,2049.52833366383,-0.750483699612763,0.0196557663929113,0,0,1,1,1239.50764287792,4,329.971142729846,1.20042387455161,-1.00078146083315
NaN,10,136,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1773.56409739878,NaN,NaN,0.534793667010953,-0.739699811313834
4,10,137,0,23,0,1421.60901000432,-0.149364875476389,-1.17784639579589,0,0,1,1,1280.18625706227,4,594.19415848788,0.135474080918903,0.467999111769245
NaN,10,138,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1764.45525968347,NaN,NaN,-1.43115671686134,0.891037081515571
3,10,139,0,141,2,2109.66635292834,-0.190258973704931,-0.0917424738748179,0,0,1,1,1608.45149758848,3,589.559224125651,-0.732961322436907,0.421679805654719
4,10,140,1,60,2,1369.28012739452,-0.865733274688241,-0.0490927657170994,0,0,1,1,1268.67817434368,4,548.422216890003,-0.835733652218782,0.518267396734135
3,10,141,0,37,1,1631.53758157046,0.718027466504815,-1.12639964502469,0,0,1,1,1288.7587524524,3,483.876293306366,-0.228899371709666,-0.244044179074469
4,10,142,0,142,2,1650.28810687363,0.227584880692978,-1.33591722753242,1,1,1,1,1432.51004358763,4,426.739231131478,-0.641088605014303,-0.25456713381179
NaN,10,143,1,119,3,2466.3825055834,1.24142617800338,-1.84817011790529,0,0,1,0,932.349654136033,NaN,NaN,-0.793789412686338,-0.511128529654906
NaN,10,144,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1139.05572956014,NaN,NaN,-0.961845376253266,-0.0962612436053214
4,10,145,1,125,3,1553.56105998703,1.30620519925422,-0.384652803099992,0,0,1,1,1489.74822705532,4,379.808956916804,0.464779045730709,0.406766042082094
NaN,10,146,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1375.01780322873,1,1513.79413436507,0.608831347154121,-1.00694642392154
NaN,10,147,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1968.31057300096,NaN,NaN,1.79136759315171,-0.540311104265172
NaN,10,148,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,862.189213360125,NaN,NaN,-1.42422902288822,-0.267595772113131
NaN,10,149,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1082.74503543498,NaN,NaN,0.393331192282524,-0.466457804941356
NaN,10,150,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1001.78962549671,NaN,NaN,0.758457456973726,-1.75709312968803
NaN,10,151,1,147,3,1513.3210532631,0.166197307157819,-0.0407164217412441,0,0,1,0,1898.35767617478,NaN,NaN,1.65982504239331,-0.448625154870234
NaN,10,152,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,728.373727951293,NaN,NaN,-0.534951788961682,-0.202684230607311
NaN,10,153,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,995.721600359957,NaN,NaN,1.04301890451351,-0.343835489113577
NaN,10,154,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1247.53032322951,NaN,NaN,0.179605635954928,0.380669562711592
4,10,155,1,5,2,1392.66872104417,0.706805793563365,0.95900484623446,0,0,1,1,1309.51058121286,4,587.024867552145,-0.434694554965174,0.600118678117006
NaN,10,156,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,921.471079215735,NaN,NaN,0.215427120367869,-0.475291067817045
NaN,10,157,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1217.95899932386,NaN,NaN,0.00342705148569316,-0.692726887597656
NaN,10,158,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2417.00712000875,NaN,NaN,-0.798595037533963,-0.349783387583742
NaN,10,159,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1772.66719958743,NaN,NaN,0.00948523189105131,-0.085398144928556
3,10,160,0,25,1,1792.65383611039,-0.449969956673486,0.228883984492442,0,0,1,1,1482.19356312256,3,936.973478771961,0.624050818377908,1.36200120801625
NaN,10,161,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1462.17760116406,NaN,NaN,-0.4021475133306,1.0454682229388
NaN,10,162,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,994.788305171141,NaN,NaN,-0.476659345754216,-0.494660650058304
