Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,filter_$
69,.106826137684621,2.2215336155858,3.03455156473831,2.0497656589731,1,0,0,1,0,3,809.9814422, , , ,-.892304682868676,-.525846152566077,.39877226350845,-.0500576736486504,1
70,-.536896495228648,-.508298032951325,.397914913573919,.228343673965198,1,1,1,1,1,1,1372.99092,4,431.7821438,4,-.261397610503511,-.564748041616126,.506614418804084,.644989410712196,1
71, , , , ,1,0,0,0,1,2,665.2378592,4,388.3514019, ,.52731238966713,.742381495382751,-.0895638238895973,-.437166716573404,1
72,.405851338303782,.409057748134238,.0457142133368894,-.185404826183443,1,0,0,1,1,1,1686.531717,3,2431.661205,3,-1.17502477389159,-1.5093145791603,.342353147235136,.046460715063128,1
73, , , , ,1,0,0,0,1,2,1021.846896,2,482.8900461, ,-.788422832711,-1.01323404090566,.222995643153677,.135281067408133,1
74, , , , ,1,0,0,0,1,2,957.9999904,4,437.6018808, ,1.28738633730165,.820015851520489,-.42771295490133,-.544339732610509,1
75, , , , ,1,0,0,0,1,2,1226.641773,4,437.430328, ,2.03649328609252,1.53251339800462,.0012185554270796,-.122596338456863,1
76, , , , ,1,0,0,0,0,0,1057.577347, , ,0,-.775298493391913,-1.0626799869037,-.353710581184981,-.202341154989216,1
77, , , , ,1,0,0,0,0,0,2022.876638, , ,0,-.850873798348308,-.729973552295026,.590999382128634,.682086896624645,1
78,.351799312471487,.00639941396897229,.02731352369185,.0585788254505965,1,0,0,1,1,1,1201.840063,2,1059.986174,2,-1.34438874631139,-1.75450725607405,1.02136865891331,1.01897015407973,1
79,2.65677320128807,3.51828530870127,.135130064580726,.116020197979842,1,0,0,1,1,1,918.665762,4,548.6338272,4,.151083401559468,-.288446885920959,.213247199737137,.0830297940160278,1
80,-.669151452052346,-.719011186635261,.261933374772824,.332704979500957,1,0,0,1,1,1,775.1703806,1,179.311805,1,2.59520094940385,2.34122958665176,1.77513061838323,.615192323081756,1
81, , , , ,1,0,0,0,0,0,1232.801941, , ,0,-.162085343197357,-.512657304419127,.460613951432213,.404358094323563,1
82, , , , ,1,0,0,0,1,2,648.5663005,4,339.477462, ,.136156097577869,.0871355397183401,.514230390223282,.683741341861489,1
83, , , , ,1,0,0,0,1,2,957.6221506,1,997.6280642, ,-.853920186915991,-.425015590563164,0,1.10976496675116,1
84,.113740390188821,.541002287013252,-.147493027935998,-.196779355397151,1,0,0,1,0,3,1303.097407, , , ,.686943150613221,.806527256824736,.406997512641172,.399861896091652,1
85,-.780418122249684,-.859770985654898,-.374626540741911,-.0927024130917116,1,1,1,1,1,1,996.538013,4,318.0254613,4,-.293080051607321,-.329825534497707,1.14513746258845,.910112723207377,1
86,.220981909526304,.212847119197774,.0130043335472111,-.0799339464743732,1,0,0,1,1,1,1126.643858,4,492.5791151,4,.281164193399125,.489695154749126,.879797018344083,.0314733876234061,1
87, , , , ,1,0,0,0,1,2,1042.473178,1,1412.701429, ,.231141249694018,-.204279278474811,.476821982036149,1.01763589585722,1
88,2.29680971010701,2.48889041486075,-.528444805743396,-1.15536780488239,1,0,0,1,1,1,1756.41624,4,277.6586036,4,-1.15581729397241,-1.19757816841415,1.07659371981576,.958289716495463,1
89,-.509870482312499,-.53844053536765,.368013792900734,.44986263040216,1,0,0,1,1,1,1042.150148,2,847.5506182,2,1.13811329748564,.948607120953246,.286665164218068,.147475302006823,1
90, , , , ,1,0,0,0,1,2,726.3342941,2,593.0323984, ,.944972262295151,.179157730198201,-.224518837437503,-.0521558994902163,1
91, , , , ,1,0,0,0,1,2,1339.289579,2,279.4726822, ,-.343888872826538,-.592624822882605,-.2279357327229,-.128056586399793,1
92, , , , ,1,0,0,0,1,2,861.5657535,4,383.2145601, ,-.957802037073648,-.602581269057424,.844458910959065,.996057781643573,1
93, , , , ,1,0,0,0,1,2,1317.749901,4,526.5216366, ,-.707084257954128,-.644287057288621,1.46805465076182,.578252110573052,1
94, , , , ,1,0,0,0,0,0,2833.016551, , ,0,-.866410380043447,-1.18618779956,.659543124901285,1.77390007576488,1
95, , , , ,1,0,0,0,1,2,1110.667721,2,438.2480267, ,.910055962557971,.517271837238203,-.260278752470368,-.157666684665814,1
96,.089324487332692,.0638407864981971,-.211982679873529,-.357444580540776,1,1,1,1,1,1,757.2342599,4,329.0931979,4,-1.48373645563273,-2.00717322558299,1.04168800306618,1.05625090367669,1
97,-.628612432678124,-.520810015086404,.973798997308428,.608814740475187,1,1,1,1,1,1,1760.846251,4,690.0103776,4,-.780232734215611,-1.16580503424199,.33712976252948,.212927958401563,1
99, , , , ,1,0,0,0,0,0,923.0407229, , ,0,-1.20455951105519,-.273519507791002,.771040946478117,1.18201054896394,1
100,-1.75306707645529,-1.57920995842192,1.59223467584708,1.39679218744334,1,0,0,1,1,1,1054.600718,4,634.2150301,4,-.0332231067847735,-.376272624717701,.599529270118127,.690016555324554,1
101,.434889926649862,.280525568019335,-.162731099048299,.0480573859279179,1,1,0,1,1,1,892.097771,4,437.6173497,4,2.07493637460583,2.57594847161453,-.247729983112454,-1.43730203872567,1
102,.23334487288156,.381654533166565,.0442766594583714,-.0553464850620535,1,0,0,1,0,3,1179.517433, , , ,.333562076763104,-.0933118826558509,.116981320998655,-.0533548856853906,1
103,-.328959855754325,-.557033515813134,-.843438662775895,-.502127133866139,1,0,0,1,1,1,963.1961787,2,592.9730519,2,-1.18963220707359,-.581299264093027,1.82326355775252,1.45377076165252,1
104, , , , ,1,0,0,0,0,0,1200.093992, , ,0,.393271292689498,-.0573422968005293,.076159714191839,.176850463788657,1
105,.680999150652226,.60640582999207,-.0656921817234041,-.21497860213908,1,0,0,1,0,3,1677.271728, , , ,.262581223136312,.166268628600043,.119113792996028,-.107908757565958,1
106,1.00013611168333,.64081378086354,-.744077887521176,-.816691197544239,1,0,0,1,1,1,758.7775901,4,389.0545779,4,1.13445763120444,.607195801876509,.444772730880325,.61178270608922,1
107, , , , ,1,0,0,0,1,2,772.6318677,2,227.160173, ,-1.03522944199203,-.822343835541216,1.24998236461587,1.13878548508722,1
108, , , , ,1,0,0,0,0,0,1278.781055, , ,0,2.25191357634128,2.21533603615811,-.853334056319563,-1.2274621173128,1
109,1.7212131371482,1.96480898133914,-1.03101364167346,-1.1914819351359,1,0,0,1,0,3,660.9461312, , , ,-.00336849882157359,-.444315091294015,-.389328458948662,-.370186987761007,1
110,-.283599501833689,-.431311890102446,-.00833781249540383,-.0929104837480662,1,0,0,1,1,1,917.8701979,1,581.9503189,1,-.268404304209159,.225818276293851,-.625728211800115,-1.13412770305266,1
111, , , , ,1,0,0,0,1,2,2367.314639,1,477.4366155, ,-.799694470411397,.158924838154587,.15871684437578,.0193336523972313,1
112,-.862933714876646,-.70962720003395,-.317699407152576,-.0537446505347459,1,0,0,1,1,1,1108.508847,4,900.2259979,4,1.42904340569845,1.23276684921029,.369831572115567,.292852378172077,1
113,-.543221732294133,-.204143121776764,-.402515085985179,-.398833648717163,1,0,0,1,1,1,792.3815115,2,432.954825,2,-.484393253657207,-.763545165759982,.993122673061533,.763754206327963,1
114,-1.06677885485057,-.972094461640255,.321724558012446,.279529055426862,1,1,0,1,0,3,1470.190887, , , ,-.853920186915991,3.94311389241476,0,1.10976496675115,1
115,-.749941980025087,-.390287292359095,1.78400436324144,1.23897059460315,1,0,0,1,1,1,1079.509894,4,488.5286395,4,.0586554402959826,.358826335120282,.878700850580017,.470481659412819,1
116,-.225234814365838,-.362389762813896,-.538220172117327,-.372261401490211,1,0,0,1,1,1,819.6129003,4,583.930247,4,-.479519031948929,1.89131001691145,.017059775978973,-.103412559334044,1
