Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,hit_rate,filter_$
181,.862752228680864,.879822060006077,-.186361850451971,-.212632438107259,0,1,1,1,1,1,1587.40411,3,386.9063849,3,.499498238959495,.500182726067343,.210583440330439,.274347116220726,1,0
182, , , , ,0,0,0,0,0,0,2589.587032, , ,0,-.0329384707918443,-.0407857972063624,-1.37818639863881,-1.29900522848544,1,0
183,-.313774602595644,-.286050268664572,1.26807812384098,1.35804685386994,0,0,0,1,1,1,3285.463572,2,1416.214952,2,.817189872721595,.653538332446753,-.773982591170486,-.82116223118278,1,0
184, , , , ,0,0,0,0,0,0,2898.497521, , ,0,-1.48786643405531,-1.50618838414616,1.52951574190904,1.53086653227539,1,0
185, , , , ,0,0,0,0,0,0,4399.985629, , ,0,.972180256205075,.875506251899631,-.423063109811864,-.446246939199066, ,0
186,.87434138191797,.861985910146548,-.483636255093098,-.425262992876799,0,0,0,1,1,1,2065.643864,1,754.1728925,1,-.595318707210898,-.555334450265588,-.865410928539191,-.867548927586366,1,0
187,.505349522326516,.463280333267497,-.460465677665444,-.313365110133474,0,0,0,1,1,1,4465.713217,1,541.2211272,1,-.899502182967222,-.920550074962807,.88776469919941,1.11877319226166,1,0
188, , , , ,0,0,0,0,0,0,2126.518021, , ,0,-.712941101932761,-.719105762997451,-1.3814690854833,-1.19501782260216,1,0
189, , , , ,0,0,0,0,0,0,4579.793237, , ,0,-.714963878889636,-.662249582969662,2.18366467715062,1.88327689275779, ,0
190,.258643692957407,.379418129685842,.754490938354044,.521116407709776,0,0,0,1,0,3,3286.813102, , , ,1.03959396475361,1.15227700436052,-.406279869738611,-.425421580151989,0,0
191,.367937932017513,.364115539891624,.0707689905228608,.171519803499768,0,0,0,1,1,1,1533.06332,3,604.308038,3,-.210031149710834,-.353759325724286,.483275519686456,.49526530888338,1,0
